漢字,部首,画数,学年,追加年,読み
亜,二,7,S,NA,ア
哀,口,9,S,NA,アイ、あわ-れ、あわ-れむ
挨,手,10,S,2010,アイ
愛,心,13,4,NA,アイ
曖,日,17,S,2010,アイ
悪,心,11,3,NA,アク、オ、わる-い
握,手,12,S,NA,アク、にぎ-る
圧,土,5,5,NA,アツ
扱,手,6,S,NA,あつか-う
宛,宀,8,S,2010,あ-てる
嵐,山,12,S,2010,あらし
安,宀,6,3,NA,アン、やす-い
案,木,10,4,NA,アン
暗,日,13,3,NA,アン、くら-い
以,人,5,4,NA,イ
衣,衣,6,4,NA,イ、ころも
位,人,7,4,NA,イ、くらい
囲,囗,7,5,NA,イ、かこ-む、かこ-う
医,酉,7,3,NA,イ
依,人,8,S,NA,イ、（エ）
委,女,8,3,NA,イ、ゆだ-ねる
威,女,9,S,NA,イ
為,爪,9,S,NA,イ
畏,田,9,S,2010,イ、おそ-れる
胃,肉,9,6,NA,イ
尉,寸,11,S,NA,イ
異,田,11,6,NA,イ、こと
移,禾,11,5,NA,イ、うつ-る、うつ-す
萎,艸,11,S,2010,イ、な-える
偉,人,12,S,NA,イ、えら-い
椅,木,12,S,2010,イ
彙,彐,13,S,2010,イ
意,心,13,3,NA,イ
違,辵,13,S,NA,イ、ちが-う、ちが-える
維,糸,14,S,NA,イ
慰,心,15,S,NA,イ、なぐさ-める、なぐさ-む
遺,辵,15,6,NA,イ、（ユイ）
緯,糸,16,S,NA,イ
域,土,11,6,NA,イキ
育,肉,8,3,NA,イク、そだ-つ、そだ-てる、はぐく-む
一,一,1,1,NA,イチ、イツ、ひと、ひと-つ
壱,士,7,S,NA,イチ
逸,辵,11,S,NA,イツ
茨,艸,9,4,2010,（いばら）[7]
芋,艸,6,S,NA,いも
引,弓,4,2,NA,イン、ひ-く、ひ-ける
印,卩,6,4,NA,イン、しるし
因,囗,6,5,NA,イン、よ-る
咽,口,9,S,2010,イン
姻,女,9,S,NA,イン
員,口,10,3,NA,イン
院,阜,10,3,NA,イン
淫,水,11,S,2010,イン、みだ-ら
陰,阜,11,S,NA,イン、かげ、かげ-る
飲,食,12,3,NA,イン、の-む
隠,阜,14,S,NA,イン、かく-す、かく-れる
韻,音,19,S,NA,イン
右,口,5,1,NA,ウ、ユウ、みぎ
宇,宀,6,6,NA,ウ
羽,羽,6,2,NA,ウ、は、はね
雨,雨,8,1,NA,ウ、あめ、（あま）
唄,口,10,S,2010,（うた）
鬱,鬯,29,S,2010,ウツ
畝,田,10,S,NA,うね
浦,水,10,S,NA,うら
運,辵,12,3,NA,ウン、はこ-ぶ
雲,雨,12,2,NA,ウン、くも
永,水,5,5,NA,エイ、なが-い
泳,水,8,3,NA,エイ、およ-ぐ
英,艸,8,4,NA,エイ
映,日,9,6,NA,エイ、うつ-る、うつ-す、は-える
栄,木,9,4,NA,エイ、さか-える、は-え、は-える
営,火,12,5,NA,エイ、いとな-む
詠,言,12,S,NA,エイ、よ-む
影,彡,15,S,NA,エイ、かげ
鋭,金,15,S,NA,エイ、するど-い
衛,行,16,5,NA,エイ
易,日,8,5,NA,エキ、イ、やさ-しい
疫,疒,9,S,NA,エキ、（ヤク）
益,皿,10,5,NA,エキ、（ヤク）
液,水,11,5,NA,エキ
駅,馬,14,3,NA,エキ
悦,心,10,S,NA,エツ
越,走,12,S,NA,エツ、こ-す、こ-える
謁,言,15,S,NA,エツ
閲,門,15,S,NA,エツ
円,囗,4,1,NA,エン、まる-い
延,廴,8,6,NA,エン、の-びる、の-べる、の-ばす
沿,水,8,6,NA,エン、そ-う
炎,火,8,S,NA,エン、ほのお
怨,心,9,S,2010,エン、オン
宴,宀,10,S,NA,エン
媛,女,12,4,2010,エン
援,手,12,S,NA,エン
園,囗,13,2,NA,エン、その
煙,火,13,S,NA,エン、けむ-る、けむり、けむ-い
猿,犬,13,S,1981,エン、さる
遠,辵,13,2,NA,エン、（オン）、とお-い
鉛,金,13,S,NA,エン、なまり
塩,鹵,13,4,NA,エン、しお
演,水,14,5,NA,エン
縁,糸,15,S,NA,エン、ふち
艶,色,19,S,2010,エン、つや
汚,水,6,S,NA,オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
王,玉,4,1,NA,オウ
凹,凵,5,S,1981,オウ
央,大,5,3,NA,オウ
応,心,7,5,NA,オウ、こた-える
往,彳,8,5,NA,オウ
押,手,8,S,NA,オウ、お-す、お-さえる
旺,日,8,S,2010,オウ
欧,欠,8,S,NA,オウ
殴,殳,8,S,NA,オウ、なぐ-る
桜,木,10,5,NA,オウ、さくら
翁,羽,10,S,NA,オウ
奥,大,12,S,NA,オウ、おく
横,木,15,3,NA,オウ、よこ
岡,山,8,4,2010,（おか）[7]
屋,尸,9,3,NA,オク、や
億,人,15,4,NA,オク
憶,心,16,S,NA,オク
臆,肉,17,S,2010,オク
虞,虍,13,S,NA,おそれ
乙,乙,1,S,NA,オツ
俺,人,10,S,2010,おれ
卸,卩,9,S,NA,おろ-す、おろし
音,音,9,1,NA,オン、イン、おと、ね
恩,心,10,6,NA,オン
温,水,12,3,NA,オン、あたた-か、あたた-かい、あたた-まる、あたた-める
穏,禾,16,S,NA,オン、おだ-やか
下,一,3,1,NA,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
化,匕,4,3,NA,カ、ケ、ば-ける、ば-かす
火,火,4,1,NA,カ、ひ、（ほ）
加,力,5,4,NA,カ、くわ-える、くわ-わる
可,口,5,5,NA,カ
仮,人,6,5,NA,カ、（ケ）、かり
何,人,7,2,NA,カ、なに、（なん）
花,艸,7,1,NA,カ、はな
佳,人,8,S,NA,カ
価,人,8,5,NA,カ、あたい
果,木,8,4,NA,カ、は-たす、は-てる、は-て
河,水,8,5,NA,カ、かわ
苛,艸,8,S,2010,カ
科,禾,9,2,NA,カ
架,木,9,S,NA,カ、か-ける、か-かる
夏,夊,10,2,NA,カ、（ゲ）、なつ
家,宀,10,2,NA,カ、ケ、いえ、や
荷,艸,10,3,NA,カ、に
華,艸,10,S,NA,カ、（ケ）、はな
菓,艸,11,S,NA,カ
貨,貝,11,4,NA,カ
渦,水,12,S,1981,カ、うず
過,辵,12,5,NA,カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
嫁,女,13,S,NA,カ、よめ、とつ-ぐ
暇,日,13,S,NA,カ、ひま
禍,示,13,S,NA,カ
靴,革,13,S,1981,カ、くつ
寡,宀,14,S,NA,カ
歌,欠,14,2,NA,カ、うた、うた-う
箇,竹,14,S,NA,カ
稼,禾,15,S,1981,カ、かせ-ぐ
課,言,15,4,NA,カ
蚊,虫,10,S,NA,か
牙,牙,4,S,2010,ガ、（ゲ）、きば
瓦,瓦,5,S,2010,ガ、かわら
我,戈,7,6,NA,ガ、われ、わ
画,田,8,2,NA,ガ、カク
芽,艸,8,4,NA,ガ、め
賀,貝,12,4,NA,ガ
雅,隹,13,S,NA,ガ
餓,食,15,S,NA,ガ
介,人,4,S,NA,カイ
回,囗,6,2,NA,カイ、（エ）、まわ-る、まわ-す
灰,火,6,6,NA,カイ、はい
会,曰,6,2,NA,カイ、エ、あ-う
快,心,7,5,NA,カイ、こころよ-い
戒,戈,7,S,NA,カイ、いまし-める
改,攴,7,4,NA,カイ、あらた-める、あらた-まる
怪,心,8,S,NA,カイ、あや-しい、あや-しむ
拐,手,8,S,1981,カイ
悔,心,9,S,NA,カイ、く-いる、く-やむ、くや-しい
海,水,9,2,NA,カイ、うみ
界,田,9,3,NA,カイ
皆,白,9,S,NA,カイ、みな
械,木,11,4,NA,カイ
絵,糸,12,2,NA,カイ、エ
開,門,12,3,NA,カイ、ひら-く、ひら-ける、あ-く、あ-ける
階,阜,12,3,NA,カイ
塊,土,13,S,NA,カイ、かたまり
楷,木,13,S,2010,カイ
解,角,13,5,NA,カイ、ゲ、と-く、と-かす、と-ける
潰,水,15,S,2010,カイ、つぶ-す、つぶ-れる
壊,土,16,S,NA,カイ、こわ-す、こわ-れる
懐,心,16,S,NA,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
諧,言,16,S,2010,カイ
貝,貝,7,1,NA,かい
外,夕,5,2,NA,ガイ、ゲ、そと、ほか、はず-す、はず-れる
劾,力,8,S,NA,ガイ
害,宀,10,4,NA,ガイ
崖,山,11,S,2010,ガイ、がけ
涯,水,11,S,1981,ガイ
